,hashtag_id,freq,centrality,labels
0,0,70.0,0.108079550328,1
1,1,2.14559418534,0.00483980203954,0
2,2,22.0,0.0148819770794,2
3,3,12.0,0.0122955912479,2
4,4,5.24729332739,0.000471177718102,0
5,5,17.0,0.0242791971165,2
6,6,8.51208667465,0.0146150335449,0
7,7,3.98247587177,0.0133236884025,0
8,8,6.53379634856,0.0170007630916,0
9,9,4.41495424094,0.0125080876282,0
10,10,4.05533220484,0.0150283648027,0
11,11,3.9366854978,0.00785450214214,0
12,12,1.24754635958,0.0196841517582,0
13,13,4.50226349658,0.0192039310763,0
14,14,5.485480203,0.00699949130973,0
15,15,6.28926759817,0.00426948747352,0
16,16,2.17104683708,0.00835005925499,0
17,17,14.0,0.0358479431073,2
18,18,3.98335419207,0.0134788377341,0
19,19,2.04839211888,0.0057544476774,0
20,20,6.10316266514,0.00531599550048,0
21,21,2.43533292869,0.00854298925574,0
22,22,1.87168600846,0.0112751759124,0
23,23,4.60211205912,0.0252490289508,0
24,24,4.41420535411,0.00910837637643,0
25,25,5.09984455105,0.0146905237241,0
26,26,1.62094751977,0.00942668363318,0
27,27,4.92995609707,0.00184627308775,0
28,28,3.08560748073,0.00187554610119,0
29,29,2.26419753769,0.00362598390888,0
30,30,3.97457568421,0.00230794084486,0
31,31,6.41076530012,0.0197633405677,0
32,32,3.48972903019,0.0192354128499,0
33,33,5.37397652059,0.0127008826454,0
34,34,4.27627606968,0.00351720074662,0
35,35,4.51415556272,0.00821546198575,0
36,36,5.30162605856,0.00839294648611,0
37,37,2.40588790622,0.00236837077887,0
38,38,3.32825151993,0.0057894525587,0
39,39,4.9496040539,0.00263450022311,0
40,40,5.86108360968,0.0066193715686,0
41,41,4.9690586278,0.00503253190057,0
42,42,1.29486146607,0.00583671474608,0
43,43,4.8088023845,0.0059779085802,0
44,44,5.84179818307,0.0154802003203,0
45,45,1.93506076748,0.0026348061136,0
46,46,4.45389895448,0.00831050183583,0
47,47,8.55431958042,0.0083693892585,0
48,48,5.91035894248,0.0124458066623,0
49,49,2.41598766667,0.00874445016915,0
50,50,1.28348507187,0.00919095643739,0
51,51,1.06377211445,0.00365795392098,0
52,52,4.42882345604,0.00370577984923,0
53,53,5.77941380309,0.00167573257138,0
54,54,95.0,0.110986660898,1
55,55,1.73875663986,0.00740119395148,0
56,56,5.10836533697,0.00711146275814,0
57,57,4.56312968913,0.00359899288991,0
58,58,6.6362625749,0.0268780930324,0
59,59,2.53598001756,0.0215935557568,0
60,60,2.54011914784,0.0215216461563,0
61,61,4.34579425016,0.0333786317183,0
62,62,5.43809798153,0.00877279652028,0
63,63,1.60730486083,0.00963094532837,0
64,64,3.05142543958,0.00972764213721,0
65,65,3.91882435304,0.0114731131211,0
66,66,2.65192363642,0.0145506475228,0
67,67,2.80056998976,0.0105351254568,0
68,68,2.92994660197,0.00323272256161,0
69,69,2.63958939258,0.0036620645243,0
70,70,5.17246880027,0.0125498205394,0
71,71,1.73547535587,0.0119778699872,0
72,72,29.0,0.0181264213965,2
73,73,4.15188423834,0.00786981188235,0
74,74,5.31735151613,0.00977534074211,0
75,75,4.44832900218,0.00400736412275,0
76,76,3.19140952056,0.00468601567677,0
77,77,3.19330278378,0.0137235160533,0
78,78,1.45769751489,0.01079773351,0
79,79,3.46382680304,0.00757093458216,0
80,80,12.0,0.0126244271981,2
81,81,6.98578734732,0.0113417264485,0
82,82,4.50199184638,0.00893776884182,0
83,83,1.88669990052,0.0255692090847,0
84,84,3.23525759652,0.0244765837651,0
85,85,1.59675419564,0.0223805103716,0
86,86,2.56321245113,0.0195226562667,0
87,87,5.22936589553,0.00812067880528,0
88,88,3.42903191667,0.00800109807067,0
89,89,3.55373188037,0.00984410658893,0
90,90,3.94539686081,0.00201551330076,0
91,91,2.86487435949,0.0139578382619,0
92,92,6.96047333769,0.0171783362404,0
93,93,5.12747327784,0.018360100306,0
94,94,3.69298321983,0.00861194421167,0
95,95,1.73584514619,0.0155274985074,0
96,96,3.57153533229,0.0124800809843,0
97,97,5.37716959219,0.000930908962127,0
98,98,4.83258679421,0.0108930979202,0
99,99,4.31454030246,0.00899062623445,0
100,100,5.96378814126,0.00616800816141,0
101,101,5.1867816686,0.0323812568936,0
102,102,5.34366704346,0.0307180217552,0
103,103,5.77095193094,0.0237908840502,0
104,104,3.2000216434,0.00940636722023,0
105,105,4.38808709907,0.0121118052391,0
106,106,2.71487422394,0.0399523298331,0
107,107,7.49973161548,0.0428062989301,0
108,108,3.88393439224,0.0306374202052,0
109,109,3.48927214689,0.0317745511036,0
110,110,5.6731405231,0.0243501968041,0
111,111,4.62256996208,0.0256883616625,0
112,112,4.24671603505,0.0179786395419,0
113,113,5.16931015249,0.0246265886659,0
114,114,5.42798200884,0.0208740471561,0
115,115,5.87106101463,0.0145904380642,0
116,116,2.15249123642,0.00528523774516,0
117,117,12.0,0.0198990227655,2
118,118,3.12220073657,0.00489798529121,0
119,119,1.22350072768,0.00333039769462,0
120,120,5.61150644655,0.00906189873264,0
121,121,3.89623063635,0.00768144004386,0
122,122,2.14804573624,0.00786655438438,0
123,123,3.82901916897,0.000940489757925,0
124,124,4.91838391945,0.00807590748245,0
125,125,4.93828159429,0.00420606314708,0
126,126,3.1455210568,0.00304889242931,0
127,127,5.02507895268,0.00669771032966,0
128,128,2.66661248053,0.000849516041088,0
129,129,4.43534341314,0.00543600900409,0
130,130,7.70381358282,0.0174361600176,0
131,131,3.9538501264,0.008145452941,0
132,132,2.47549195943,0.00329133509023,0
133,133,1.71353255812,0.00994531201149,0
